Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Good Luck Chuck,2007,R,21 Sep 2007,96 min,19,5.6,movie,"$35,017,297"
Inception,2010,PG-13,16 Jul 2010,148 min,74,8.8,movie,"$292,587,330"
Magnolia,1999,R,07 Jan 2000,188 min,77,8.0,movie,"$22,455,976"
Major Payne,1995,PG-13,24 Mar 1995,28S min,34,6.2,movie,"$29,412,050"
My Girl,1991,PG,27 Nov 1991,102 min,56,6.9,movie,"$59,489,799"
My Girl 2,1994,PG,11 Feb 1994,31S min,N/A,5.2,movie,"$17,359,799"
Open Season: Scared Silly!,2015,PG,08 Mar 2016,84 min,N/A,5.1,movie,N/A
Pineapple Express,2008,R,06 Aug 2008,111 min,64,6.9,movie,"$87,341,380"
Planet 51,2009,PG,20 Nov 2009,91 min,39,6.0,movie,"$42,194,060"
Poms,2019,PG-13,10 May 2019,2 min,36,6.0,movie,"$13,631,124"
Seabiscuit,2003,PG-13,25 Jul 2003,140 min,72,7.3,movie,"$120,277,854"
Space Cowboys,2000,PG-13,04 Aug 2000,2 min,73,6.5,movie,"$90,464,773"
Team America: World Police,2004,R,15 Oct 2004,1 min,64,7.2,movie,"$32,786,074"
The Edge of Seventeen,2016,R,18 Nov 2016,104 min,77,7.3,movie,"$14,431,633"
The Haunting in Connecticut 2: Ghosts of Georgia,2013,R,01 Feb 2013,100 min,26,5.2,movie,N/A
The Last Boy Scout,1991,R,13 Dec 1991,105 min,52,7.0,movie,"$59,509,925"
The Lincoln Lawyer,2011,R,18 Mar 2011,118 min,63,7.3,movie,"$58,009,200"
The Losers,2010,PG-13,23 Apr 2010,97 min,44,6.3,movie,"$23,591,432"
The Machinist,2004,R,03 Dec 2004,101 min,61,7.7,movie,"$1,082,715"
The Net,1995,PG-13,28 Jul 1995,114 min,51,5.9,movie,"$50,727,965"
The Original Kings of Comedy,2000,R,18 Aug 2000,115 min,73,6.8,movie,"$38,182,790"
Valentine's Day,2010,PG-13,12 Feb 2010,125 min,34,5.7,movie,"$110,528,528"
Charmed,1998–2006,TV-14,07 Oct 1998,42 min,N/A,7.1,series,na
The Lost Café,2018,N/A,18 May 2018,76 min,N/A,7.0,movie,N/A
The Vault,2021,R,26 Mar 2021,118 min,50,6.4,movie,N/A
Centaurworld,2021,TV-Y7,30 Jul 2021,N/A,N/A,7.6,series,na
Eyes of a Thief,2014,Not Rated,01 Oct 2014,98 min,N/A,6.5,movie,N/A
Glow Up: Britain's Next Make-Up Star,2019–,TV-14,06 Mar 2019,32S min,N/A,6.8,series,na
I'm Glad I Did,2020,N/A,05 Jul 2020,114 min,N/A,8.4,movie,N/A
Khawatir,2005–2015,N/A,04 Oct 2005,25 min,N/A,9.5,series,na
Myth,2020,N/A,24 Jul 2020,89 min,N/A,5.1,movie,N/A
Outer Banks,2020–,TV-MA,15 Apr 2020,50 min,N/A,7.5,series,na
The Last Mercenary,2021,TV-MA,30 Jul 2021,110 min,48,5.3,movie,N/A
Flower Girl,2009,TV-PG,14 Nov 2009,90 min,N/A,5.9,movie,N/A
Resort to Love,2021,PG,29 Jul 2021,101 min,46,5.7,movie,N/A
Bartkowiak,2021,TV-MA,28 Jul 2021,2 min,N/A,5.1,movie,N/A
Fantastic Fungi,2019,Not Rated,11 Oct 2019,81 min,70,7.4,movie,"$1,788,322"
Tattoo Redo,2021–,TV-MA,28 Jul 2021,1 min,N/A,5.9,series,na
The Flash,2014–2023,TV-PG,07 Oct 2014,43 min,N/A,7.6,series,na
The Snitch Cartel: Origins,2021–,TV-MA,28 Jul 2021,N/A,N/A,5.6,series,na
All American,2018–,TV-14,10 Oct 2018,45 min,N/A,7.5,series,na
Department,2012,Not Rated,18 May 2012,2 min,N/A,3.1,movie,N/A
Hostage House,2021,TV-14,27 Jul 2021,85 min,N/A,3.9,movie,N/A
How to Sell Drugs Online (Fast),2019–,TV-MA,31 May 2019,30 min,N/A,7.9,series,na
Mighty Express,2020–,TV-Y,22 Sep 2020,N/A,N/A,5.0,series,na
Mimi,2021,TV-14,26 Jul 2021,132 min,N/A,7.9,movie,N/A
Plastic Cup Boyz: Laughing My Mask Off!,2021,N/A,27 Jul 2021,N/A,N/A,N/A,movie,N/A
The Operative,2019,TV-MA,24 Jul 2019,116 min,47,5.7,movie,N/A
The Walking Dead,2010–2022,TV-MA,31 Oct 2010,44 min,N/A,8.2,series,na
Wynonna Earp,2016–2021,TV-14,01 Apr 2016,1 min,N/A,7.3,series,na
Django Unchained,2012,R,25 Dec 2012,165 min,81,8.4,movie,"$162,805,434"
A Second Chance: Rivals!,2019,PG,05 Feb 2020,1 min,N/A,4.7,movie,N/A
African America,2021,N/A,23 Jul 2021,96 min,N/A,5.5,movie,N/A
Bankrolled,2021,TV-MA,23 Jul 2021,2 min,N/A,4.0,movie,N/A
Blood Red Sky,2021,TV-MA,23 Jul 2021,121 min,43,6.1,movie,N/A
Feels Like Ishq,2021–,TV-MA,23 Jul 2021,N/A,N/A,6.4,series,na
Kingdom: Ashin of the North,2021,TV-MA,23 Jul 2021,92 min,N/A,N/A,movie,N/A
Masters of the Universe: Revelation,2021–,TV-PG,23 Jul 2021,N/A,N/A,5.2,series,na
Sky Rojo,2021–2022,TV-MA,19 Mar 2021,N/A,N/A,6.5,series,na
The Last Letter from Your Lover,2021,TV-MA,23 Jul 2021,2 min,57,6.6,movie,N/A
The Movies That Made Us,2019–,TV-PG,29 Nov 2019,45 min,N/A,7.6,series,na
9to5: The Story of A Movement,2020,N/A,01 Feb 2021,33S min,N/A,7.7,movie,N/A
Chhota Bheem Neeli Pahaadi,2013,N/A,22 Jul 2021,63 min,N/A,N/A,movie,N/A
Chhota Bheem,2008–,N/A,31 Dec 2008,15 min,N/A,4.1,series,na
Chhota Bheem,2008–,N/A,31 Dec 2008,15 min,N/A,4.1,series,na
Chhota Bheem,2008–,N/A,31 Dec 2008,15 min,N/A,4.1,series,na
Chhota Bheem and the Broken Amulet,2012,Not Rated,N/A,63 min,N/A,N/A,movie,N/A
Chhota Bheem and the ShiNobi Secret,2013,N/A,N/A,63 min,N/A,N/A,movie,N/A
Chhota Bheem aur Hanuman,2012,N/A,N/A,67 min,N/A,6.2,movie,N/A
Chhota Bheem Aur Krishna,2008,G,24 Aug 2008,69 min,N/A,6.4,movie,N/A
Chhota Bheem in African Safari,2015,N/A,N/A,62 min,N/A,N/A,movie,N/A
Chhota Bheem Dus pe Dus,2014,G,N/A,62 min,N/A,5.3,movie,N/A
Chhota Bheem Master of Shaolin,2011,N/A,N/A,75 min,N/A,6.2,movie,N/A
Chicago Med,2015–,TV-14,17 Nov 2015,32S min,N/A,7.6,series,na
Cousins,1989,PG-13,10 Feb 1989,2 min,N/A,6.3,movie,"$22,026,369"
Words Bubble Up Like Soda Pop,2020,TV-PG,22 Jul 2021,87 min,N/A,6.8,movie,N/A
Sanitation Day,2020,N/A,25 Dec 2020,104 min,N/A,3.2,movie,N/A
Sexy Beasts,2021–,TV-14,21 Jul 2021,N/A,N/A,4.6,series,na
Too Hot to Handle: Brazil,2021–,TV-MA,21 Jul 2021,2 min,N/A,5.5,series,na
Trollhunters: Rise of the Titans,2021,TV-Y7,21 Jul 2021,104 min,N/A,6.6,movie,N/A
Milkwater,2020,N/A,21 May 2021,101 min,N/A,5.6,movie,N/A
Okupas,2000,N/A,18 Oct 2000,60 min,N/A,9.0,series,na
Touch Your Heart,2019,N/A,06 Feb 2019,60 min,N/A,7.6,series,na
The Tambour of Retribution,2020,N/A,20 Jul 2021,92 min,N/A,6.8,movie,N/A
Cosmic Sin,2021,R,12 Mar 2021,88 min,9,2.5,movie,N/A
2 Weeks in Lagos,2019,N/A,02 Mar 2021,107 min,N/A,6.3,movie,N/A
Deep,2017,PG,15 Jan 2018,92 min,N/A,4.1,movie,N/A
Explained,2018–,TV-MA,23 May 2018,18 min,N/A,8.0,series,na
Johnny Test,2005–2014,TV-Y7,01 Jan 2005,1 min,N/A,5.1,series,na
Naomi Osaka,2021,TV-14,16 Jul 2021,N/A,N/A,6.2,series,na
The Beguiled,2017,R,30 Jun 2017,93 min,77,6.3,movie,"$10,709,995"
The Book of Henry,2017,PG-13,23 Jun 2017,2 min,31,6.5,movie,"$4,504,974"
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,18 Nov 2011,117 min,45,4.9,movie,"$281,287,133"
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16 Nov 2012,115 min,52,5.5,movie,"$292,324,737"
The Twilight Saga: Eclipse,2010,PG-13,30 Jun 2010,1 min,58,5.0,movie,"$300,531,751"
The Twilight Saga: New Moon,2009,PG-13,20 Nov 2009,130 min,44,4.7,movie,"$297,816,253"
Twilight,2008,PG-13,21 Nov 2008,122 min,56,5.3,movie,"$193,962,473"
A Perfect Fit,2021,TV-PG,15 Jul 2021,112 min,N/A,5.3,movie,N/A
Beastars,2019–,TV-MA,13 Mar 2020,32S min,N/A,7.7,series,na
Cheech,2006,N/A,10 Sep 2006,104 min,N/A,6.3,movie,"$329,972"
Emicida: AmarElo - Live in São Paulo,2021,N/A,15 Jul 2021,99 min,N/A,N/A,movie,N/A
Her Private Life,2019,N/A,10 Apr 2019,75 min,N/A,7.7,series,na
Lift Like a Girl,2020,N/A,16 Jun 2021,92 min,N/A,7.8,movie,N/A
My Amanda,2021,TV-14,15 Jul 2021,89 min,N/A,5.7,movie,N/A
Never Have I Ever,2020–2023,TV-14,27 Apr 2020,30 min,N/A,7.9,series,na
Surf's Up,2007,PG,08 Jun 2007,53S min,64,6.7,movie,"$58,867,694"
The Unknown Saint,2019,N/A,01 Jan 2020,100 min,N/A,6.5,movie,N/A
This Changes Everything,2018,TV-PG,31 Oct 2019,96 min,63,7.6,movie,"$64,988"
A Classic Horror Story,2021,TV-MA,14 Jul 2021,39S min,N/A,5.7,movie,N/A
Gunpowder Milkshake,2021,R,14 Jul 2021,114 min,47,6.0,movie,N/A
Heist,2001,R,09 Nov 2001,109 min,66,6.5,movie,"$23,510,841"
My Unorthodox Life,2021–,TV-MA,14 Jul 2021,N/A,N/A,5.6,series,na
Private Network: Who Killed Manuel Buendía?,2021,TV-MA,14 Jul 2021,100 min,N/A,6.8,movie,N/A
The Guide to the Perfect Family,2021,TV-MA,14 Jul 2021,2 min,N/A,6.4,movie,N/A
American Woman,2018,R,14 Jun 2019,111 min,68,6.8,movie,"$236,637"
Day of Destiny,2021,N/A,01 Jan 2021,109 min,N/A,5.2,movie,N/A
Ridley Jones,2021–,TV-Y,13 Jul 2021,27 min,N/A,4.7,series,na
Born to Play,2020,N/A,01 Jul 2020,1 min,N/A,8.9,movie,N/A
American Ultra,2015,R,21 Aug 2015,96 min,50,6.1,movie,"$14,440,985"
The Stand-up,1994,N/A,N/A,95 min,N/A,6.8,movie,N/A
The Tour,2014,N/A,25 Aug 2014,15 min,N/A,6.9,movie,N/A
Atypical,2017–2021,TV-MA,11 Aug 2017,30 min,N/A,8.3,series,na
Biohackers,2020–,TV-MA,20 Aug 2020,2 min,N/A,6.8,series,na
Finding Hubby,2020,N/A,04 Dec 2020,104 min,N/A,4.1,movie,N/A
How to Become a Tyrant,2021–,TV-14,09 Jul 2021,1 min,N/A,7.4,series,na
Last Summer,2021,TV-14,09 Jul 2021,101 min,N/A,6.3,movie,N/A
Lee Su-geun: The Sense Coach,2021,N/A,09 Jul 2021,45 min,N/A,4.2,movie,N/A
Lethal Love,2021,N/A,08 Jul 2021,87 min,N/A,4.5,movie,N/A
The Cook of Castamar,2021,TV-MA,09 Jul 2021,2 min,N/A,7.4,series,na
Virgin River,2019–,TV-14,06 Dec 2019,44 min,N/A,7.4,series,na
Back to Q82,2017,N/A,31 Aug 2017,105 min,N/A,N/A,movie,N/A
Elize Matsunaga: Once Upon a Crime,2021,TV-MA,08 Jul 2021,N/A,N/A,5.9,series,na
Home Again,2017,PG-13,08 Sep 2017,97 min,41,5.8,movie,"$27,020,284"
Midnight Sun,2018,PG-13,23 Mar 2018,2 min,38,6.6,movie,"$9,561,064"
Resident Evil: Infinite Darkness,2021–,TV-MA,08 Jul 2021,N/A,N/A,5.7,series,na
Rock the Kasbah,2015,R,23 Oct 2015,106 min,29,5.5,movie,"$3,020,664"
Awon Boyz,2019,N/A,22 Mar 2019,38 min,N/A,N/A,movie,N/A
Brick Mansions,2014,PG-13,25 Apr 2014,90 min,40,5.6,movie,"$20,396,829"
Cat People,1942,Not Rated,25 Dec 1942,1 min,N/A,7.2,movie,N/A
Clash,2016,Not Rated,27 Jul 2016,97 min,78,7.4,movie,"$18,215"
Dogs,2016,N/A,10 Sep 2021,104 min,55,7.1,movie,N/A
Major Grom: Plague Doctor,2021,TV-14,08 Apr 2021,136 min,N/A,6.3,movie,N/A
Mama Drama,2012–,N/A,01 Jan 2012,60 min,N/A,5.8,series,na
Tango with Me,2010,N/A,17 Apr 2011,104 min,N/A,6.3,movie,N/A
The Mire,2018–,TV-MA,25 Mar 2020,50 min,N/A,7.0,series,na
The War Next-door,2021–,TV-MA,07 Jul 2021,1 min,N/A,5.7,series,na
Therapy,2016,Not Rated,17 Nov 2016,96 min,N/A,5.2,movie,N/A
This Little Love of Mine,2021,TV-G,07 Jun 2021,91 min,N/A,5.3,movie,N/A
Three Thieves,1926,N/A,29 Oct 1933,66 min,N/A,7.0,movie,N/A
A Land Imagined,2018,N/A,12 Apr 2019,2 min,59,6.2,movie,N/A
Ask the StoryBots,2016–2019,TV-Y,12 Aug 2016,1 min,N/A,8.3,series,na
Between,2015–2016,TV-14,21 May 2015,60 min,N/A,5.9,series,na
Chelsea,2016–2017,TV-MA,11 May 2016,30 min,N/A,6.0,series,na
Code Lyoko,2003–2007,TV-Y7,19 Apr 2004,26 min,N/A,7.3,series,na
Colony,2016–2018,TV-14,14 Jan 2016,42 min,N/A,7.3,series,na
Cuckoo,2012–,TV-14,07 Mar 2016,1 min,N/A,7.2,series,na
Derry Girls,2018–2022,TV-MA,21 Dec 2018,30 min,N/A,8.5,series,na
Girl From Nowhere,2018–,TV-MA,31 Oct 2018,45 min,N/A,7.6,series,na
Good Morning Call,2016–2017,TV-14,12 Feb 2016,48 min,N/A,7.5,series,na
Har Kisse Ke Hisse: Kaamyaab,2018,N/A,06 Mar 2020,109 min,N/A,7.8,movie,N/A
I Am a Killer,2018–2022,TV-MA,03 Aug 2018,3 min,N/A,7.4,series,na
I Think You Should Leave with Tim Robinson,2019–,TV-MA,23 Apr 2019,16 min,N/A,7.9,series,na
Kim's Convenience,2016–2021,TV-14,11 Oct 2016,22 min,N/A,8.2,series,na
Larva,2005,R,22 Jan 2005,96 min,N/A,4.2,movie,N/A
Marcella,2016–,TV-MA,04 Apr 2016,45 min,N/A,7.4,series,na
Midnight Diner: Tokyo Stories,2016–2019,TV-14,21 Oct 2016,24 min,N/A,8.4,series,na
My Little Pony: Friendship Is Magic,2010–2020,TV-Y,10 Oct 2010,22 min,N/A,7.6,series,na
Orange Is the New Black,2013–2019,TV-MA,11 Jul 2013,59 min,N/A,8.1,series,na
Puffin Rock,2015–2016,TV-Y,12 Jan 2015,7 min,N/A,8.6,series,na
Rehmataan,2012,N/A,16 Mar 2012,N/A,N/A,N/A,movie,N/A
Return of the Prodigal Son,1978,N/A,24 Sep 1976,120 min,N/A,7.2,movie,N/A
Richie Rich,1994,PG,21 Dec 1994,1 min,49,5.4,movie,"$38,087,756"
Rise: Ini Kalilah,2018,N/A,13 Sep 2018,100 min,N/A,5.1,movie,N/A
Scream,1996,R,20 Dec 1996,111 min,65,7.4,movie,"$103,046,663"
Shtisel,2013–2021,TV-14,15 Dec 2018,45 min,N/A,8.6,series,na
Si Doel the Movie 2,2019,N/A,04 Jun 2019,95 min,N/A,7.0,movie,N/A
Some Assembly Required,2014–2016,TV-G,06 Jan 2014,1 min,N/A,4.4,series,na
Tales by Light,2015–,N/A,24 May 2015,23 min,N/A,8.3,series,na
Terrace House: Opening New Doors,2017–2019,N/A,19 Dec 2017,42 min,N/A,7.8,series,na
The A List,2018–,TV-14,30 Aug 2019,25 min,N/A,5.4,series,na
The New Legends of Monkey,2018–,TV-PG,28 Apr 2018,24 min,N/A,6.5,series,na
The Worst Witch,1986,G,31 Oct 1986,70 min,N/A,6.8,movie,N/A
Truckbhar Swapna,2018,N/A,24 Aug 2018,128 min,N/A,5.7,movie,N/A
Ujala,1959,N/A,N/A,109 min,N/A,6.8,movie,N/A
Undercover,2011–2016,N/A,17 Apr 2011,60 min,N/A,8.8,series,na
Workin' Moms,2017–2023,TV-MA,10 Jan 2017,30 min,N/A,7.7,series,na
YooHoo to the Rescue,2019–,TV-Y,15 Mar 2019,32S min,N/A,6.7,series,na
You Are My Spring,2021–,N/A,05 Jul 2021,31S min,N/A,7.4,series,na
We the People,2021–,TV-PG,04 Jul 2021,1 min,N/A,3.6,series,na
Grey's Anatomy,2005–,TV-14,27 Mar 2005,41 min,N/A,7.6,series,na
Big Timber,2020–,N/A,02 Jul 2021,1 min,N/A,6.7,series,na
Haseen Dillruba,2021,TV-MA,02 Jul 2021,41S min,N/A,6.9,movie,N/A
Mortel,2019–2021,TV-MA,21 Nov 2019,40 min,N/A,6.4,series,na
RattleSnake: The Ahanna Story,2020,N/A,13 Nov 2020,135 min,N/A,4.8,movie,N/A
Snowpiercer,2013,R,11 Jul 2014,126 min,84,7.1,movie,"$4,563,650"
The 8th Night,2021,TV-MA,02 Jul 2021,115 min,N/A,5.3,movie,N/A
Winchester,2018,PG-13,02 Feb 2018,99 min,28,5.4,movie,"$25,091,816"
6 Bullets,2012,R,17 Nov 2012,115 min,N/A,6.0,movie,N/A
Air Force One,1997,R,25 Jul 1997,124 min,61,6.5,movie,"$172,956,409"
Audible,2021,PG-13,01 Jul 2021,39 min,N/A,6.7,movie,N/A
Austin Powers in Goldmember,2002,PG-13,26 Jul 2002,2 min,62,6.2,movie,"$213,307,889"
Austin Powers: International Man of Mystery,1997,PG-13,02 May 1997,2 min,51,7.0,movie,"$53,911,748"
Austin Powers: The Spy Who Shagged Me,1999,PG-13,11 Jun 1999,95 min,59,6.6,movie,"$206,040,086"
Boogie Nights,1997,R,31 Oct 1997,155 min,85,7.9,movie,"$26,416,349"
The Bureau of Magical Things,2018–,TV-G,07 Oct 2018,25 min,N/A,6.7,series,na
Charlie's Angels,2000,PG-13,03 Nov 2000,98 min,52,5.6,movie,"$125,305,545"
Congo,1995,PG-13,09 Jun 1995,109 min,22,5.2,movie,"$81,022,101"
Dennis the Menace,1993,PG,25 Jun 1993,94 min,49,5.6,movie,"$51,270,765"
Dreamy Eyes,2019,N/A,20 Dec 2019,117 min,N/A,6.9,movie,N/A
Dynasty Warriors,2021,N/A,29 Apr 2021,119 min,N/A,4.7,movie,N/A
Generation 56K,2021,TV-14,01 Jul 2021,N/A,N/A,7.4,series,na
Hampstead,2017,PG-13,14 Jun 2019,102 min,53,6.0,movie,"$144,396"
Kung Fu Panda,2008,PG,06 Jun 2008,92 min,74,7.6,movie,"$215,771,591"
Kung Fu Panda 2,2011,PG,26 May 2011,90 min,67,7.2,movie,"$165,249,063"
Life as We Know It,2010,PG-13,08 Oct 2010,114 min,39,6.5,movie,"$53,374,681"
Mary Magdalene,2018,R,16 Mar 2018,2 min,48,5.9,movie,"$124,741"
Masameer County,2021–,TV-MA,01 Jul 2021,N/A,N/A,8.0,series,na
Memoirs of a Geisha,2005,PG-13,23 Dec 2005,145 min,54,7.3,movie,"$57,490,508"
Midnight Run,1988,R,20 Jul 1988,2 min,78,7.5,movie,"$38,413,606"
Mobile Suit Gundam: Hathaway,2021,TV-14,01 Jul 2021,95 min,N/A,6.6,movie,N/A
Mortal Kombat,2021,R,23 Apr 2021,110 min,44,6.1,movie,"$42,326,031"
Mother's Day,2016,PG-13,29 Apr 2016,118 min,18,5.6,movie,"$32,492,859"
No Strings Attached,2011,R,21 Jan 2011,108 min,50,6.2,movie,"$70,662,220"
Not Another Teen Movie,2001,R,14 Dec 2001,89 min,32,5.7,movie,"$38,252,284"
Ophelia,2018,PG-13,28 Jun 2019,106 min,60,6.5,movie,"$50,722"
Quarantine Tales,2020,N/A,18 Dec 2020,87 min,N/A,6.2,movie,N/A
Rainbow Rangers,2018–,TV-Y,05 Nov 2018,N/A,N/A,4.2,series,na
Red Joan,2018,R,19 Apr 2019,101 min,45,6.4,movie,"$1,579,730"
Sailor Moon Crystal,2014–,TV-14,20 Nov 2015,24 min,N/A,7.8,series,na
Seven Pounds,2008,PG-13,19 Dec 2008,123 min,36,7.6,movie,"$69,951,824"
She's Out of My League,2010,R,12 Mar 2010,104 min,46,6.4,movie,"$32,010,860"
Snow Day,2000,PG,11 Feb 2000,1 min,34,5.1,movie,"$60,020,107"
Star Trek,2009,PG-13,08 May 2009,127 min,82,7.9,movie,"$257,730,019"
Stuart Little,1999,PG,17 Dec 1999,2 min,61,6.0,movie,"$140,035,367"
Sword of Trust,2019,R,19 Jul 2019,1 min,70,6.3,movie,"$322,421"
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,04 Aug 2006,108 min,66,6.6,movie,"$148,213,377"
The American,2010,R,01 Sep 2010,105 min,61,6.3,movie,"$35,606,376"
The Best of Enemies,2019,PG-13,05 Apr 2019,133 min,49,7.3,movie,"$10,205,616"
The Game,1997,R,12 Sep 1997,129 min,61,7.7,movie,"$48,323,648"
The Karate Kid,1984,PG,22 Jun 1984,126 min,60,7.3,movie,"$91,077,276"
The Karate Kid Part II,1986,PG,20 Jun 1986,113 min,55,6.1,movie,"$115,103,979"
The Karate Kid Part III,1989,PG,30 Jun 1989,112 min,36,5.2,movie,"$38,956,288"
The Life of David Gale,2003,R,21 Feb 2003,31S min,31,7.5,movie,"$19,955,598"
The Long Riders,1980,R,16 May 1980,2 min,64,6.9,movie,"$15,795,189"
The Queen,2006,PG-13,17 Nov 2006,103 min,91,7.3,movie,"$56,441,711"
The Strangers,2008,R,30 May 2008,86 min,47,6.1,movie,"$52,597,610"
The Sum of All Fears,2002,PG-13,31 May 2002,124 min,45,6.4,movie,"$118,907,036"
The Tourist,2010,PG-13,10 Dec 2010,1 min,37,6.0,movie,"$67,631,157"
Underworld,2003,R,19 Sep 2003,121 min,42,7.0,movie,"$51,970,690"
Underworld: Awakening,2012,R,20 Jan 2012,88 min,39,6.3,movie,"$62,321,039"
Underworld: Rise of the Lycans,2009,R,23 Jan 2009,92 min,44,6.5,movie,"$45,802,315"
Voiceless,2015,PG-13,N/A,107 min,N/A,2.1,movie,"$419,952"
What Dreams May Come,1998,PG-13,02 Oct 1998,31S min,44,6.9,movie,"$55,382,927"
Why Do Fools Fall in Love,1998,R,28 Aug 1998,116 min,N/A,6.3,movie,"$12,461,773"
Working Title,1992,N/A,20 Jun 1992,N/A,N/A,9.4,movie,N/A
Young Royals,2021–,TV-MA,01 Jul 2021,N/A,N/A,8.3,series,na
America: The Motion Picture,2021,TV-MA,30 Jun 2021,98 min,38,5.6,movie,N/A
Deranged,2012,Not Rated,27 Jul 2012,1 min,N/A,6.3,movie,N/A
Droppin' Cash: Los Angeles,2018–,N/A,25 Jan 2018,N/A,N/A,3.5,series,na
Lying and Stealing,2019,R,12 Jul 2019,100 min,50,5.4,movie,N/A
Mommy Issues,2021,N/A,07 May 2021,90 min,N/A,5.4,movie,N/A
Prime Time,2021,TV-MA,30 Jun 2021,41S min,N/A,5.2,movie,N/A
Somos.,2021,TV-MA,30 Jun 2021,N/A,N/A,7.1,series,na
Sophie: A Murder in West Cork,2021,TV-14,30 Jun 2021,N/A,N/A,6.8,series,na
The Daily Life of the Immortal King,2020–,TV-14,18 Jan 2020,N/A,N/A,7.2,series,na
StarBeam,2020–,TV-Y,03 Apr 2020,N/A,N/A,7.0,series,na
A Way Back Home,2013,TV-G,01 Jun 2013,84 min,N/A,5.8,movie,N/A
Killing Them Softly,2012,R,30 Nov 2012,97 min,64,6.2,movie,"$15,026,056"
The Seven Deadly Sins,2014–2021,TV-14,01 Nov 2015,1 min,N/A,7.9,series,na
Wanted,2008,R,27 Jun 2008,110 min,64,6.7,movie,"$134,508,551"
Into the Wind,2022,TV-MA,10 Feb 2022,107 min,N/A,5.2,movie,N/A
Wonder Boy,2019,N/A,27 Nov 2019,1 min,N/A,6.7,movie,N/A
Here Comes the Rain,2010,N/A,01 Feb 2010,98 min,N/A,6.4,movie,N/A
The Ice Road,2021,PG-13,25 Jun 2021,109 min,42,5.6,movie,N/A
Ray,2004,PG-13,29 Oct 2004,1 min,73,7.7,movie,"$75,331,600"
Sex/Life,2021–,TV-MA,25 Jun 2021,N/A,N/A,5.4,series,na
Godzilla Singular Point,2021–,TV-14,24 Jun 2021,1 min,N/A,6.5,series,na
Jiva!,2021–,TV-MA,24 Jun 2021,N/A,N/A,5.4,series,na
Sisters on Track,2021,PG,24 Jun 2021,96 min,72,5.9,movie,N/A
The Naked Director,2019–,TV-MA,08 Aug 2019,18S min,N/A,7.7,series,na
The Seventh Day,2021,R,26 Mar 2021,87 min,43,4.5,movie,N/A
Good on Paper,2021,Unrated,23 Jun 2021,92 min,54,5.6,movie,N/A
Murder by the Coast,2021,TV-MA,23 Jun 2021,2 min,N/A,6.5,movie,N/A
The House of Flowers: The Movie,2021,TV-MA,23 Jun 2021,86 min,N/A,5.5,movie,N/A
The Parisian Agency: Exclusive Properties,2021–,TV-14,23 Jun 2021,N/A,N/A,7.5,series,na
Too Hot to Handle,2020–,TV-MA,17 Apr 2020,38S min,N/A,4.6,series,na
Broken,2012,Not Rated,08 Mar 2013,2 min,53,7.2,movie,N/A
Osuofia in London,2003,N/A,N/A,105 min,N/A,7.3,movie,N/A
This Is Pop,2021–,TV-MA,22 Jun 2021,60 min,N/A,6.9,series,na
Love Is a Story,2015,N/A,01 Nov 2015,97 min,N/A,6.0,movie,N/A
The Mole,2001–,N/A,09 Jan 2001,60 min,N/A,7.4,series,na
Nevertheless,2021,N/A,19 Jun 2021,N/A,N/A,7.2,series,na
Bangkok Love Stories: Innocence,2018–2019,N/A,08 Mar 2019,45 min,N/A,6.6,series,na
Black Lightning,2017–2021,TV-14,16 Jan 2018,43 min,N/A,6.0,series,na
Call My Agent!,2015–2020,TV-MA,20 Dec 2016,52 min,N/A,8.3,series,na
Champions,2018,TV-14,06 Apr 2018,124 min,N/A,7.2,movie,N/A
Cleo,2019,N/A,25 Jul 2019,99 min,N/A,6.5,movie,N/A
Deadwind: The Sharting Dead,2015,N/A,11 Jul 2015,N/A,N/A,8.1,movie,N/A
Glee,2009–2015,TV-PG,19 May 2009,44 min,N/A,6.8,series,na
Hap and Leonard,2016–2018,TV-MA,02 Mar 2016,21S min,N/A,7.6,series,na
Locked Up,2004,Not Rated,26 May 2005,96 min,N/A,5.0,movie,N/A
Mobile Suit Gundam II: Soldiers of Sorrow,1981,N/A,11 Jul 1981,139 min,N/A,7.2,movie,N/A
Mobile Suit Gundam III: Encounters in Space,1982,N/A,13 Mar 1982,144 min,N/A,7.6,movie,N/A
Mobile Suit Gundam: Char's Counterattack,1988,Not Rated,12 Mar 1988,124 min,N/A,7.3,movie,N/A
No Time for Shame,2019–,N/A,19 Nov 2019,N/A,N/A,5.8,series,na
Pose,2018–2021,TV-MA,03 Jun 2018,60 min,N/A,8.6,series,na
Rea(l)ove,2018–,TV-MA,27 Apr 2018,40 min,N/A,6.5,series,na
Riverdale,2017–,TV-14,26 Jan 2017,45 min,N/A,6.6,series,na
Schitt's Creek,2015–2020,TV-14,11 Feb 2015,22 min,N/A,8.5,series,na
Inside Look: The Assassination of Gianni Versace - American Crime Story,2017–2018,TV-MA,26 Dec 2017,3 min,N/A,7.7,series,na
The Judgement,2021,N/A,02 Sep 2021,130 min,N/A,7.5,movie,N/A
The Last Dance,2020,TV-MA,19 Apr 2020,491 min,N/A,9.1,series,na
